CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8293","ACCT 200","1","Accounting Concepts","3","","Lec","MWF","0800-0850","LUTR 170","Williams, LaMonte","18","Open",
"9258","ACCT 200","2","Accounting Concepts","3","","Lec","MW","1800-1915","FORBES 2070C","Staff, CNU","18","Open",
"8294","ACCT 201","1","Prin of Account I: Financial","3","","Lec","MWF","1400-1450","FORBES 3014","Walker, George","24","Open",
"8295","ACCT 201","2","Prin of Account I: Financial","3","","Lec","MWF","1100-1150","LUTR 242","Walker, George","24","Open",
"9248","ACCT 201","3","Prin of Account I: Financial","3","","Lec","MWF","1300-1350","FORBES 3014","Walker, George","19","Open",
"8296","ACCT 202","1","Prin of Account II: Managerial","3","","Lec","TR","1630-1745","LUTR 142","Chung, Keun Ho","33","Open",
"8297","ACCT 202","2","Prin of Account II: Managerial","3","","Lec","MWF","1200-1250","LUTR 242","Scott, Mary","24","Open",
"8298","ACCT 202","3","Prin of Account II: Managerial","3","","Lec","MWF","1300-1350","LUTR 242","Scott, Mary","24","Open",
"8299","ACCT 202","4","Prin of Account II: Managerial","3","","Lec","MWF","0900-0950","FORBES 3012","Scott, Mary","23","Open",
"8300","ACCT 202","5","Prin of Account II: Managerial","3","","Lec","TR","0800-0915","LUTR 142","Chung, Keun Ho","28","Open",
"9231","ACCT 301","1","Intermediate Accounting I","3","","Lec","TR","1330-1445","LUTR 242","Frucot, Veronique","15","Open",
"8303","ACCT 302","1","Intermediate Accounting II","3","","Lec","MWF","1100-1150","TFAC 204","Kugel, Jonathan","15","Open",
"9229","ACCT 302","2","Intermediate Accounting II","3","","Lec","MWF","1400-1450","TRIB 1210","Kugel, Jonathan","15","Open",
"8304","ACCT 303","1","Cost/Managerial Accounting","3","","Lec","TR","1800-1915","LUTR 142","Chung, Keun Ho","24","Open",
"9274","ACCT 402","1","Advanced Taxation","3","","Lec","MW","1800-1915","LUTR 242","Staff, CNU","19","Open",
"8305","ACCT 404","1","Volunteer Income Tax Assist","1","","Int","","","ARR ","Scott, Mary","0","Closed",
"8306","ACCT 406","1","WI:Case Studies in Accounting","3","  WI","Lec","MWF","1000-1050","LUTR 242","Walker, George","23","Open",
"8307","ACCT 451","1","Govt &amp; Nonprof Acctng &amp; Topics","3","","Lec","TR","1100-1215","LUTR 142","Frucot, Veronique","15","Open",
"8308","ACCT 552","1","Financial Reg &amp; Prof Responsib","3","","Lec","TR","1800-1915","LUTR 137","Ficht, Linda","7","Open",
"8920","AMST 100","1","The American Experiment","3","  AIDE  ","Lec","MWF","1000-1050","MCM 312","Garmon, Frank","34","Open",
"8921","AMST 100","2","The American Experiment","3","  AIDE  ","Lec","MWF","1200-1250","FORBES 3012","Garmon, Frank","24","Open",
"8922","AMST 100","3","The American Experiment","3","  AIDE  ","Lec","MW","1600-1715","MCM 212","Morrison, Jeffry","24","Open",
"8923","AMST 100","4","The American Experiment","3","  AIDE  ","Lec","MWF","1400-1450","MCM 210","Little, David","19","Open",
"8924","AMST 100","5","The American Experiment","3","  AIDE  ","Lec","TR","0930-1045","MCM 164","Morrison, Jeffry","34","Open",
"8926","AMST 100","7","The American Experiment","3","  AIDE  ","Lec","TR","1800-1915","MCM 210","White, William","19","Open",
"8927","AMST 100","8","The American Experiment","3","  AIDE  ","Lec","TR","1930-2045","MCM 210","White, William","19","Open",
"8928","AMST 120","1","Encounters w/ the Constitution","3","  AIDE","Lec","TR","1330-1445","MCM 101","Mims, William","34","Open",
"8929","AMST 200","1","Evolution-American Experiment","3","  AIWT","Lec","MWF","0900-0950","MCM 260","Kaufer Busch, Elizabeth","24","Open",
"8930","AMST 200","2","Evolution-American Experiment","3","  AIWT","Lec","TR","1500-1615","MCM 212","Morrison, Jeffry","24","Open",
"8931","AMST 300","1","The American Exp: Global Infl","3","  AIGM","Lec","MW","1930-2045","MCM 314","McCarthy, William","24","Open",
"8932","AMST 330","1","Treason in America","3","","Lec","TR","1100-1215","MCM 260","White, Jonathan","24","Open",
"8933","AMST 350","1","Sex, Law and Society","3","","Lec","MWF","1000-1050","MCM 260","Kaufer Busch, Elizabeth","19","Open",
"9247","AMST 395","1","SPC TP:COVID-19 &amp; Constitution","3","","Lec","TR","1630-1745","LUTR 372","Mims, William","7","Open",
"8934","AMST 490","1","WI: Capstone Sem-Amer Studies","3","  WI","Lec","TR","0930-1045","MCM 200C","White, Jonathan","15","Open",
"8080","ANTH 200","1","Human Adaptation","3","  AINW","Lec","MWF","1300-1350","LUTR 170","Loy, Christopher","19","Open",
"8081","ANTH 200","2","Human Adaptation","3","  AINW","Lec","MWF","1400-1450","LUTR 170","Loy, Christopher","19","Open",
"8082","ANTH 203","1","Cultural Anthropology","3","  AIGM","Lec","TR","1630-1745","LUTR 170","Staff, CNU","35","Open",
"8083","ANTH 203","2","Cultural Anthropology","3","  AIGM","Lec","TR","1930-2045","LUTR 170","Staff, CNU","35","Open",
"9225","ANTH 325","1","Food and Culture","3","  AIGM","Lec","TR","1100-1215","LUTR 167","Timmer, Andria","9","Open",
